Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
13.06.2018 00:30 - 13.06.2018 00:45,12522,11083
13.06.2018 00:45 - 13.06.2018 01:00,12320,10881
13.06.2018 01:00 - 13.06.2018 01:15,12151,10715
13.06.2018 01:15 - 13.06.2018 01:30,12007,10592
13.06.2018 01:30 - 13.06.2018 01:45,11908,10477
13.06.2018 01:45 - 13.06.2018 02:00,11732,10381
13.06.2018 02:00 - 13.06.2018 02:15,11667,10362
13.06.2018 02:15 - 13.06.2018 02:30,11626,10271
13.06.2018 02:30 - 13.06.2018 02:45,11601,10220
13.06.2018 02:45 - 13.06.2018 03:00,11570,10218
13.06.2018 03:00 - 13.06.2018 03:15,11522,10197
13.06.2018 03:15 - 13.06.2018 03:30,11517,10188
13.06.2018 03:30 - 13.06.2018 03:45,11466,10146
13.06.2018 03:45 - 13.06.2018 04:00,11439,10151
13.06.2018 04:00 - 13.06.2018 04:15,11427,10141
13.06.2018 04:15 - 13.06.2018 04:30,11411,10108
13.06.2018 04:30 - 13.06.2018 04:45,11442,10128
13.06.2018 04:45 - 13.06.2018 05:00,11434,10208
13.06.2018 05:00 - 13.06.2018 05:15,11478,10227
13.06.2018 05:15 - 13.06.2018 05:30,11517,10237
13.06.2018 05:30 - 13.06.2018 05:45,11528,10354
13.06.2018 05:45 - 13.06.2018 06:00,11675,10487
13.06.2018 06:00 - 13.06.2018 06:15,11934,10820
13.06.2018 06:15 - 13.06.2018 06:30,12289,11140
13.06.2018 06:30 - 13.06.2018 06:45,12708,11398
13.06.2018 06:45 - 13.06.2018 07:00,13020,11673
13.06.2018 07:00 - 13.06.2018 07:15,13399,12171
13.06.2018 07:15 - 13.06.2018 07:30,13809,12611
13.06.2018 07:30 - 13.06.2018 07:45,14297,13018
13.06.2018 07:45 - 13.06.2018 08:00,14676,13366
13.06.2018 08:00 - 13.06.2018 08:15,14951,13618
13.06.2018 08:15 - 13.06.2018 08:30,15146,13838
13.06.2018 08:30 - 13.06.2018 08:45,15323,14040
13.06.2018 08:45 - 13.06.2018 09:00,15439,14281
13.06.2018 09:00 - 13.06.2018 09:15,15499,14314
13.06.2018 09:15 - 13.06.2018 09:30,15489,14388
13.06.2018 09:30 - 13.06.2018 09:45,15440,14364
13.06.2018 09:45 - 13.06.2018 10:00,15379,14341
13.06.2018 10:00 - 13.06.2018 10:15,15322,14360
13.06.2018 10:15 - 13.06.2018 10:30,15275,14314
13.06.2018 10:30 - 13.06.2018 10:45,15188,14273
13.06.2018 10:45 - 13.06.2018 11:00,15148,14249
13.06.2018 11:00 - 13.06.2018 11:15,15100,14203
13.06.2018 11:15 - 13.06.2018 11:30,15082,14141
13.06.2018 11:30 - 13.06.2018 11:45,15047,14181
13.06.2018 11:45 - 13.06.2018 12:00,14997,14199
13.06.2018 12:00 - 13.06.2018 12:15,14952,14113
13.06.2018 12:15 - 13.06.2018 12:30,14852,14039
13.06.2018 12:30 - 13.06.2018 12:45,14779,13979
13.06.2018 12:45 - 13.06.2018 13:00,14725,13962
13.06.2018 13:00 - 13.06.2018 13:15,14723,14039
13.06.2018 13:15 - 13.06.2018 13:30,14791,14118
13.06.2018 13:30 - 13.06.2018 13:45,14856,14050
13.06.2018 13:45 - 13.06.2018 14:00,14840,13971
13.06.2018 14:00 - 13.06.2018 14:15,14833,13936
13.06.2018 14:15 - 13.06.2018 14:30,14846,13852
13.06.2018 14:30 - 13.06.2018 14:45,14860,13761
13.06.2018 14:45 - 13.06.2018 15:00,14905,13735
13.06.2018 15:00 - 13.06.2018 15:15,14923,13655
13.06.2018 15:15 - 13.06.2018 15:30,14956,13662
13.06.2018 15:30 - 13.06.2018 15:45,15008,13662
13.06.2018 15:45 - 13.06.2018 16:00,15095,13666
13.06.2018 16:00 - 13.06.2018 16:15,15113,13630
13.06.2018 16:15 - 13.06.2018 16:30,15143,13688
13.06.2018 16:30 - 13.06.2018 16:45,15072,13783
13.06.2018 16:45 - 13.06.2018 17:00,15314,13869
13.06.2018 17:00 - 13.06.2018 17:15,15442,13924
13.06.2018 17:15 - 13.06.2018 17:30,15529,14093
13.06.2018 17:30 - 13.06.2018 17:45,15595,14141
13.06.2018 17:45 - 13.06.2018 18:00,15590,14152
13.06.2018 18:00 - 13.06.2018 18:15,15509,13929
13.06.2018 18:15 - 13.06.2018 18:30,15265,13738
13.06.2018 18:30 - 13.06.2018 18:45,15132,13693
13.06.2018 18:45 - 13.06.2018 19:00,15135,13656
13.06.2018 19:00 - 13.06.2018 19:15,15143,13537
13.06.2018 19:15 - 13.06.2018 19:30,15163,13489
13.06.2018 19:30 - 13.06.2018 19:45,15175,13441
13.06.2018 19:45 - 13.06.2018 20:00,15220,13454
13.06.2018 20:00 - 13.06.2018 20:15,15246,13366
13.06.2018 20:15 - 13.06.2018 20:30,15250,13326
13.06.2018 20:30 - 13.06.2018 20:45,15208,13189
13.06.2018 20:45 - 13.06.2018 21:00,15141,13149
13.06.2018 21:00 - 13.06.2018 21:15,15102,13044
13.06.2018 21:15 - 13.06.2018 21:30,15046,13017
13.06.2018 21:30 - 13.06.2018 21:45,14976,12930
13.06.2018 21:45 - 13.06.2018 22:00,14914,12924
13.06.2018 22:00 - 13.06.2018 22:15,14877,12824
13.06.2018 22:15 - 13.06.2018 22:30,14798,12834
13.06.2018 22:30 - 13.06.2018 22:45,14667,12765
13.06.2018 22:45 - 13.06.2018 23:00,14411,12602
13.06.2018 23:00 - 13.06.2018 23:15,14275,12559
13.06.2018 23:15 - 13.06.2018 23:30,14101,12328
13.06.2018 23:30 - 13.06.2018 23:45,13841,12095
13.06.2018 23:45 - 14.06.2018 00:00,13545,11884
14.06.2018 00:00 - 14.06.2018 00:15,13267,11617
14.06.2018 00:15 - 14.06.2018 00:30,13008,11391
14.06.2018 00:30 - 14.06.2018 00:45,12791,11160
14.06.2018 00:45 - 14.06.2018 01:00,12585,10999
14.06.2018 01:00 - 14.06.2018 01:15,12375,10769
14.06.2018 01:15 - 14.06.2018 01:30,12192,10704
14.06.2018 01:30 - 14.06.2018 01:45,12032,10544
14.06.2018 01:45 - 14.06.2018 02:00,11904,10464
14.06.2018 02:00 - 14.06.2018 02:15,11842,10391
14.06.2018 02:15 - 14.06.2018 02:30,11783,10319
14.06.2018 02:30 - 14.06.2018 02:45,11747,10287
14.06.2018 02:45 - 14.06.2018 03:00,11686,10235
14.06.2018 03:00 - 14.06.2018 03:15,11626,10206
14.06.2018 03:15 - 14.06.2018 03:30,11592,10166
14.06.2018 03:30 - 14.06.2018 03:45,11582,10143
14.06.2018 03:45 - 14.06.2018 04:00,11566,10130
14.06.2018 04:00 - 14.06.2018 04:15,11556,10111
14.06.2018 04:15 - 14.06.2018 04:30,11563,10144
14.06.2018 04:30 - 14.06.2018 04:45,11574,10145
14.06.2018 04:45 - 14.06.2018 05:00,11600,10115
14.06.2018 05:00 - 14.06.2018 05:15,11589,10139
14.06.2018 05:15 - 14.06.2018 05:30,11585,10160
14.06.2018 05:30 - 14.06.2018 05:45,11621,10253
14.06.2018 05:45 - 14.06.2018 06:00,11732,10481
14.06.2018 06:00 - 14.06.2018 06:15,11984,10717
14.06.2018 06:15 - 14.06.2018 06:30,12369,11051
14.06.2018 06:30 - 14.06.2018 06:45,12709,11344
14.06.2018 06:45 - 14.06.2018 07:00,13092,11628
14.06.2018 07:00 - 14.06.2018 07:15,13497,12156
14.06.2018 07:15 - 14.06.2018 07:30,13915,12476
14.06.2018 07:30 - 14.06.2018 07:45,14366,12887
14.06.2018 07:45 - 14.06.2018 08:00,14685,13118
14.06.2018 08:00 - 14.06.2018 08:15,14909,13403
14.06.2018 08:15 - 14.06.2018 08:30,15024,13573
14.06.2018 08:30 - 14.06.2018 08:45,15186,13650
14.06.2018 08:45 - 14.06.2018 09:00,15353,13799
14.06.2018 09:00 - 14.06.2018 09:15,15518,13853
14.06.2018 09:15 - 14.06.2018 09:30,15562,13857
14.06.2018 09:30 - 14.06.2018 09:45,15467,13797
14.06.2018 09:45 - 14.06.2018 10:00,15484,13775
14.06.2018 10:00 - 14.06.2018 10:15,15468,13756
14.06.2018 10:15 - 14.06.2018 10:30,15393,13784
14.06.2018 10:30 - 14.06.2018 10:45,15249,13878
14.06.2018 10:45 - 14.06.2018 11:00,15023,13964
14.06.2018 11:00 - 14.06.2018 11:15,15310,14091
14.06.2018 11:15 - 14.06.2018 11:30,15317,14143
14.06.2018 11:30 - 14.06.2018 11:45,15311,14215
14.06.2018 11:45 - 14.06.2018 12:00,15287,14305
14.06.2018 12:00 - 14.06.2018 12:15,15253,14291
14.06.2018 12:15 - 14.06.2018 12:30,15181,14300
14.06.2018 12:30 - 14.06.2018 12:45,15103,14383
14.06.2018 12:45 - 14.06.2018 13:00,15080,14438
14.06.2018 13:00 - 14.06.2018 13:15,15138,14600
14.06.2018 13:15 - 14.06.2018 13:30,15208,14731
14.06.2018 13:30 - 14.06.2018 13:45,15257,14681
14.06.2018 13:45 - 14.06.2018 14:00,15318,14762
14.06.2018 14:00 - 14.06.2018 14:15,15394,14705
14.06.2018 14:15 - 14.06.2018 14:30,15426,14702
14.06.2018 14:30 - 14.06.2018 14:45,15396,14749
14.06.2018 14:45 - 14.06.2018 15:00,15352,14737
14.06.2018 15:00 - 14.06.2018 15:15,15308,14741
14.06.2018 15:15 - 14.06.2018 15:30,15316,14808
14.06.2018 15:30 - 14.06.2018 15:45,15441,14836
14.06.2018 15:45 - 14.06.2018 16:00,15545,14845
14.06.2018 16:00 - 14.06.2018 16:15,15592,14856
14.06.2018 16:15 - 14.06.2018 16:30,15703,14856
14.06.2018 16:30 - 14.06.2018 16:45,15746,14888
14.06.2018 16:45 - 14.06.2018 17:00,15862,15021
14.06.2018 17:00 - 14.06.2018 17:15,15964,15126
14.06.2018 17:15 - 14.06.2018 17:30,16033,15137
14.06.2018 17:30 - 14.06.2018 17:45,16147,15132
14.06.2018 17:45 - 14.06.2018 18:00,16164,15123
14.06.2018 18:00 - 14.06.2018 18:15,16032,14787
14.06.2018 18:15 - 14.06.2018 18:30,15865,14598
14.06.2018 18:30 - 14.06.2018 18:45,15719,14461
14.06.2018 18:45 - 14.06.2018 19:00,15696,14437
14.06.2018 19:00 - 14.06.2018 19:15,15630,14328
14.06.2018 19:15 - 14.06.2018 19:30,15593,14196
14.06.2018 19:30 - 14.06.2018 19:45,15609,14172
14.06.2018 19:45 - 14.06.2018 20:00,15586,14081
14.06.2018 20:00 - 14.06.2018 20:15,15541,13962
14.06.2018 20:15 - 14.06.2018 20:30,15561,13874
14.06.2018 20:30 - 14.06.2018 20:45,15589,13741
14.06.2018 20:45 - 14.06.2018 21:00,15551,13625
14.06.2018 21:00 - 14.06.2018 21:15,15476,13473
14.06.2018 21:15 - 14.06.2018 21:30,15384,13291
14.06.2018 21:30 - 14.06.2018 21:45,15284,13237
14.06.2018 21:45 - 14.06.2018 22:00,15243,13146
14.06.2018 22:00 - 14.06.2018 22:15,15126,12939
14.06.2018 22:15 - 14.06.2018 22:30,15033,12949
14.06.2018 22:30 - 14.06.2018 22:45,14979,12779
14.06.2018 22:45 - 14.06.2018 23:00,14846,12623
14.06.2018 23:00 - 14.06.2018 23:15,14672,12539
14.06.2018 23:15 - 14.06.2018 23:30,14477,12322
14.06.2018 23:30 - 14.06.2018 23:45,14143,12138
14.06.2018 23:45 - 15.06.2018 00:00,13831,11855
15.06.2018 00:00 - 15.06.2018 00:15,13569,11689
15.06.2018 00:15 - 15.06.2018 00:30,13321,11481
15.06.2018 00:30 - 15.06.2018 00:45,13082,11313
15.06.2018 00:45 - 15.06.2018 01:00,12851,11052
15.06.2018 01:00 - 15.06.2018 01:15,12600,10944
15.06.2018 01:15 - 15.06.2018 01:30,12419,10803
15.06.2018 01:30 - 15.06.2018 01:45,12241,10671
15.06.2018 01:45 - 15.06.2018 02:00,12105,10610
15.06.2018 02:00 - 15.06.2018 02:15,12041,10514
15.06.2018 02:15 - 15.06.2018 02:30,11955,10473
15.06.2018 02:30 - 15.06.2018 02:45,11921,10435
15.06.2018 02:45 - 15.06.2018 03:00,11878,10419
15.06.2018 03:00 - 15.06.2018 03:15,11854,10360
15.06.2018 03:15 - 15.06.2018 03:30,11801,10332
15.06.2018 03:30 - 15.06.2018 03:45,11754,10281
15.06.2018 03:45 - 15.06.2018 04:00,11720,10289
15.06.2018 04:00 - 15.06.2018 04:15,11750,10282
15.06.2018 04:15 - 15.06.2018 04:30,11754,10294
15.06.2018 04:30 - 15.06.2018 04:45,11765,10314
15.06.2018 04:45 - 15.06.2018 05:00,11749,10303
15.06.2018 05:00 - 15.06.2018 05:15,11798,10303
15.06.2018 05:15 - 15.06.2018 05:30,11829,10309
15.06.2018 05:30 - 15.06.2018 05:45,11813,10413
15.06.2018 05:45 - 15.06.2018 06:00,11978,10578
15.06.2018 06:00 - 15.06.2018 06:15,12210,10928
15.06.2018 06:15 - 15.06.2018 06:30,12550,11250
15.06.2018 06:30 - 15.06.2018 06:45,12913,11540
15.06.2018 06:45 - 15.06.2018 07:00,13260,11855
15.06.2018 07:00 - 15.06.2018 07:15,13716,12326
15.06.2018 07:15 - 15.06.2018 07:30,14197,12682
15.06.2018 07:30 - 15.06.2018 07:45,14619,13090
15.06.2018 07:45 - 15.06.2018 08:00,14963,13379
15.06.2018 08:00 - 15.06.2018 08:15,15160,13644
15.06.2018 08:15 - 15.06.2018 08:30,15338,13838
15.06.2018 08:30 - 15.06.2018 08:45,15611,14020
15.06.2018 08:45 - 15.06.2018 09:00,15744,14178
15.06.2018 09:00 - 15.06.2018 09:15,15654,14243
15.06.2018 09:15 - 15.06.2018 09:30,15843,14258
15.06.2018 09:30 - 15.06.2018 09:45,15772,14202
15.06.2018 09:45 - 15.06.2018 10:00,15755,14139
15.06.2018 10:00 - 15.06.2018 10:15,15757,14108
15.06.2018 10:15 - 15.06.2018 10:30,15615,14017
15.06.2018 10:30 - 15.06.2018 10:45,15572,13978
15.06.2018 10:45 - 15.06.2018 11:00,15631,13976
15.06.2018 11:00 - 15.06.2018 11:15,15649,13951
15.06.2018 11:15 - 15.06.2018 11:30,15677,13955
15.06.2018 11:30 - 15.06.2018 11:45,15691,13991
15.06.2018 11:45 - 15.06.2018 12:00,15693,13980
15.06.2018 12:00 - 15.06.2018 12:15,15663,13938
15.06.2018 12:15 - 15.06.2018 12:30,15575,13867
15.06.2018 12:30 - 15.06.2018 12:45,15455,13771
15.06.2018 12:45 - 15.06.2018 13:00,15370,13766
15.06.2018 13:00 - 15.06.2018 13:15,15448,13818
15.06.2018 13:15 - 15.06.2018 13:30,15528,13876
15.06.2018 13:30 - 15.06.2018 13:45,15506,13830
15.06.2018 13:45 - 15.06.2018 14:00,15445,13813
15.06.2018 14:00 - 15.06.2018 14:15,15367,13797
15.06.2018 14:15 - 15.06.2018 14:30,15463,13771
15.06.2018 14:30 - 15.06.2018 14:45,15346,13748
15.06.2018 14:45 - 15.06.2018 15:00,15215,13707
15.06.2018 15:00 - 15.06.2018 15:15,14994,13642
15.06.2018 15:15 - 15.06.2018 15:30,15093,13593
15.06.2018 15:30 - 15.06.2018 15:45,15226,13598
15.06.2018 15:45 - 15.06.2018 16:00,15288,13644
15.06.2018 16:00 - 15.06.2018 16:15,15306,13574
15.06.2018 16:15 - 15.06.2018 16:30,15388,13583
15.06.2018 16:30 - 15.06.2018 16:45,15439,13568
15.06.2018 16:45 - 15.06.2018 17:00,15500,13653
15.06.2018 17:00 - 15.06.2018 17:15,15575,13740
15.06.2018 17:15 - 15.06.2018 17:30,15660,13861
15.06.2018 17:30 - 15.06.2018 17:45,15759,13971
15.06.2018 17:45 - 15.06.2018 18:00,15748,14009
15.06.2018 18:00 - 15.06.2018 18:15,15666,13869
15.06.2018 18:15 - 15.06.2018 18:30,15510,13746
15.06.2018 18:30 - 15.06.2018 18:45,15340,13604
15.06.2018 18:45 - 15.06.2018 19:00,15234,13541
15.06.2018 19:00 - 15.06.2018 19:15,15139,13478
15.06.2018 19:15 - 15.06.2018 19:30,15167,13394
15.06.2018 19:30 - 15.06.2018 19:45,15139,13318
15.06.2018 19:45 - 15.06.2018 20:00,15054,13281
15.06.2018 20:00 - 15.06.2018 20:15,14961,13148
15.06.2018 20:15 - 15.06.2018 20:30,14936,13125
15.06.2018 20:30 - 15.06.2018 20:45,14871,13034
15.06.2018 20:45 - 15.06.2018 21:00,14774,12977
15.06.2018 21:00 - 15.06.2018 21:15,14653,12910
15.06.2018 21:15 - 15.06.2018 21:30,14554,12743
15.06.2018 21:30 - 15.06.2018 21:45,14465,12598
15.06.2018 21:45 - 15.06.2018 22:00,14390,12494
15.06.2018 22:00 - 15.06.2018 22:15,14379,12489
15.06.2018 22:15 - 15.06.2018 22:30,14313,12617
15.06.2018 22:30 - 15.06.2018 22:45,14216,12491
15.06.2018 22:45 - 15.06.2018 23:00,14010,12358
15.06.2018 23:00 - 15.06.2018 23:15,13815,12320
15.06.2018 23:15 - 15.06.2018 23:30,13717,12198
15.06.2018 23:30 - 15.06.2018 23:45,13502,11967
15.06.2018 23:45 - 16.06.2018 00:00,13275,11775
16.06.2018 00:00 - 16.06.2018 00:15,13639,11603
16.06.2018 00:15 - 16.06.2018 00:30,13439,11400
16.06.2018 00:30 - 16.06.2018 00:45,13200,11193
16.06.2018 00:45 - 16.06.2018 01:00,12973,10990
16.06.2018 01:00 - 16.06.2018 01:15,12715,10822
16.06.2018 01:15 - 16.06.2018 01:30,12535,10673
16.06.2018 01:30 - 16.06.2018 01:45,12429,10468
16.06.2018 01:45 - 16.06.2018 02:00,12255,10350
16.06.2018 02:00 - 16.06.2018 02:15,12125,10287
16.06.2018 02:15 - 16.06.2018 02:30,11992,10281
16.06.2018 02:30 - 16.06.2018 02:45,11861,10218
16.06.2018 02:45 - 16.06.2018 03:00,11756,10121
16.06.2018 03:00 - 16.06.2018 03:15,11688,10069
16.06.2018 03:15 - 16.06.2018 03:30,11615,10072
16.06.2018 03:30 - 16.06.2018 03:45,11532,9981
16.06.2018 03:45 - 16.06.2018 04:00,11493,9955
16.06.2018 04:00 - 16.06.2018 04:15,11436,9981
16.06.2018 04:15 - 16.06.2018 04:30,11404,9915
16.06.2018 04:30 - 16.06.2018 04:45,11383,9892
16.06.2018 04:45 - 16.06.2018 05:00,11354,9897
16.06.2018 05:00 - 16.06.2018 05:15,11335,9853
16.06.2018 05:15 - 16.06.2018 05:30,11278,9735
16.06.2018 05:30 - 16.06.2018 05:45,11161,9671
16.06.2018 05:45 - 16.06.2018 06:00,11086,9630
16.06.2018 06:00 - 16.06.2018 06:15,11117,9726
16.06.2018 06:15 - 16.06.2018 06:30,11201,9787
16.06.2018 06:30 - 16.06.2018 06:45,11300,9872
16.06.2018 06:45 - 16.06.2018 07:00,11406,9945
16.06.2018 07:00 - 16.06.2018 07:15,11468,10128
16.06.2018 07:15 - 16.06.2018 07:30,11572,10276
16.06.2018 07:30 - 16.06.2018 07:45,11746,10438
16.06.2018 07:45 - 16.06.2018 08:00,11876,10631
16.06.2018 08:00 - 16.06.2018 08:15,11932,10847
16.06.2018 08:15 - 16.06.2018 08:30,11967,10989
16.06.2018 08:30 - 16.06.2018 08:45,12145,11176
16.06.2018 08:45 - 16.06.2018 09:00,12297,11377
16.06.2018 09:00 - 16.06.2018 09:15,12433,11543
16.06.2018 09:15 - 16.06.2018 09:30,12479,11690
16.06.2018 09:30 - 16.06.2018 09:45,12458,11773
16.06.2018 09:45 - 16.06.2018 10:00,12454,11832
16.06.2018 10:00 - 16.06.2018 10:15,12515,11882
16.06.2018 10:15 - 16.06.2018 10:30,12574,11910
16.06.2018 10:30 - 16.06.2018 10:45,12586,11930
16.06.2018 10:45 - 16.06.2018 11:00,12557,11959
16.06.2018 11:00 - 16.06.2018 11:15,12546,11910
16.06.2018 11:15 - 16.06.2018 11:30,12500,11922
16.06.2018 11:30 - 16.06.2018 11:45,12440,11911
16.06.2018 11:45 - 16.06.2018 12:00,12416,11876
16.06.2018 12:00 - 16.06.2018 12:15,12368,11790
16.06.2018 12:15 - 16.06.2018 12:30,12314,11723
16.06.2018 12:30 - 16.06.2018 12:45,12286,11632
16.06.2018 12:45 - 16.06.2018 13:00,12152,11625
16.06.2018 13:00 - 16.06.2018 13:15,12037,11583
16.06.2018 13:15 - 16.06.2018 13:30,11974,11534
16.06.2018 13:30 - 16.06.2018 13:45,11902,11468
16.06.2018 13:45 - 16.06.2018 14:00,11837,11400
16.06.2018 14:00 - 16.06.2018 14:15,11824,11269
16.06.2018 14:15 - 16.06.2018 14:30,11842,11181
16.06.2018 14:30 - 16.06.2018 14:45,11878,11143
16.06.2018 14:45 - 16.06.2018 15:00,11884,11085
16.06.2018 15:00 - 16.06.2018 15:15,11906,11072
16.06.2018 15:15 - 16.06.2018 15:30,11868,11094
16.06.2018 15:30 - 16.06.2018 15:45,11844,11137
16.06.2018 15:45 - 16.06.2018 16:00,11833,11180
16.06.2018 16:00 - 16.06.2018 16:15,11832,11194
16.06.2018 16:15 - 16.06.2018 16:30,11881,11214
16.06.2018 16:30 - 16.06.2018 16:45,11941,11276
16.06.2018 16:45 - 16.06.2018 17:00,12080,11387
16.06.2018 17:00 - 16.06.2018 17:15,12186,11523
16.06.2018 17:15 - 16.06.2018 17:30,12276,11651
16.06.2018 17:30 - 16.06.2018 17:45,12479,11760
16.06.2018 17:45 - 16.06.2018 18:00,12705,11890
16.06.2018 18:00 - 16.06.2018 18:15,12855,11939
16.06.2018 18:15 - 16.06.2018 18:30,12870,11921
16.06.2018 18:30 - 16.06.2018 18:45,12873,11901
16.06.2018 18:45 - 16.06.2018 19:00,12813,11908
16.06.2018 19:00 - 16.06.2018 19:15,12875,11891
16.06.2018 19:15 - 16.06.2018 19:30,13112,11847
16.06.2018 19:30 - 16.06.2018 19:45,13244,11806
16.06.2018 19:45 - 16.06.2018 20:00,13245,11806
16.06.2018 20:00 - 16.06.2018 20:15,13311,11785
16.06.2018 20:15 - 16.06.2018 20:30,13438,11750
16.06.2018 20:30 - 16.06.2018 20:45,13461,11673
16.06.2018 20:45 - 16.06.2018 21:00,13399,11586
16.06.2018 21:00 - 16.06.2018 21:15,13377,11482
16.06.2018 21:15 - 16.06.2018 21:30,13402,11439
16.06.2018 21:30 - 16.06.2018 21:45,13434,11384
16.06.2018 21:45 - 16.06.2018 22:00,13444,11366
16.06.2018 22:00 - 16.06.2018 22:15,13477,11390
16.06.2018 22:15 - 16.06.2018 22:30,13515,11516
16.06.2018 22:30 - 16.06.2018 22:45,13545,11559
16.06.2018 22:45 - 16.06.2018 23:00,13457,11463
16.06.2018 23:00 - 16.06.2018 23:15,13306,11396
16.06.2018 23:15 - 16.06.2018 23:30,13165,11281
16.06.2018 23:30 - 16.06.2018 23:45,13001,11077
16.06.2018 23:45 - 17.06.2018 00:00,12791,10880
17.06.2018 00:00 - 17.06.2018 00:15,12599,10765
17.06.2018 00:15 - 17.06.2018 00:30,12459,10648
17.06.2018 00:30 - 17.06.2018 00:45,12261,10495
17.06.2018 00:45 - 17.06.2018 01:00,12061,10361
17.06.2018 01:00 - 17.06.2018 01:15,11884,10172
17.06.2018 01:15 - 17.06.2018 01:30,11707,10064
17.06.2018 01:30 - 17.06.2018 01:45,11544,9950
17.06.2018 01:45 - 17.06.2018 02:00,11415,9806
17.06.2018 02:00 - 17.06.2018 02:15,11321,9719
17.06.2018 02:15 - 17.06.2018 02:30,11218,9671
17.06.2018 02:30 - 17.06.2018 02:45,11134,9654
17.06.2018 02:45 - 17.06.2018 03:00,11064,9586
17.06.2018 03:00 - 17.06.2018 03:15,11005,9542
17.06.2018 03:15 - 17.06.2018 03:30,10973,9481
17.06.2018 03:30 - 17.06.2018 03:45,10874,9463
17.06.2018 03:45 - 17.06.2018 04:00,10796,9434
17.06.2018 04:00 - 17.06.2018 04:15,10734,9417
17.06.2018 04:15 - 17.06.2018 04:30,10687,9386
17.06.2018 04:30 - 17.06.2018 04:45,10658,9386
17.06.2018 04:45 - 17.06.2018 05:00,10640,9324
17.06.2018 05:00 - 17.06.2018 05:15,10612,9240
17.06.2018 05:15 - 17.06.2018 05:30,10485,9126
17.06.2018 05:30 - 17.06.2018 05:45,10326,9046
17.06.2018 05:45 - 17.06.2018 06:00,10239,8999
17.06.2018 06:00 - 17.06.2018 06:15,10171,8996
17.06.2018 06:15 - 17.06.2018 06:30,10128,9001
17.06.2018 06:30 - 17.06.2018 06:45,10120,9014
17.06.2018 06:45 - 17.06.2018 07:00,10113,9019
17.06.2018 07:00 - 17.06.2018 07:15,10084,9127
17.06.2018 07:15 - 17.06.2018 07:30,10121,9206
17.06.2018 07:30 - 17.06.2018 07:45,10173,9311
17.06.2018 07:45 - 17.06.2018 08:00,10208,9436
17.06.2018 08:00 - 17.06.2018 08:15,10151,9624
17.06.2018 08:15 - 17.06.2018 08:30,10112,9733
17.06.2018 08:30 - 17.06.2018 08:45,10165,9878
17.06.2018 08:45 - 17.06.2018 09:00,10263,10048
17.06.2018 09:00 - 17.06.2018 09:15,10339,10187
17.06.2018 09:15 - 17.06.2018 09:30,10406,10344
17.06.2018 09:30 - 17.06.2018 09:45,10478,10450
17.06.2018 09:45 - 17.06.2018 10:00,10533,10572
17.06.2018 10:00 - 17.06.2018 10:15,10597,10714
17.06.2018 10:15 - 17.06.2018 10:30,10649,10727
17.06.2018 10:30 - 17.06.2018 10:45,10645,10804
17.06.2018 10:45 - 17.06.2018 11:00,10609,10858
17.06.2018 11:00 - 17.06.2018 11:15,10604,10961
17.06.2018 11:15 - 17.06.2018 11:30,10626,11041
17.06.2018 11:30 - 17.06.2018 11:45,10621,11073
17.06.2018 11:45 - 17.06.2018 12:00,10693,11134
17.06.2018 12:00 - 17.06.2018 12:15,10734,11132
17.06.2018 12:15 - 17.06.2018 12:30,10750,11187
17.06.2018 12:30 - 17.06.2018 12:45,10713,11213
17.06.2018 12:45 - 17.06.2018 13:00,10683,11223
17.06.2018 13:00 - 17.06.2018 13:15,10723,11137
17.06.2018 13:15 - 17.06.2018 13:30,10732,11103
17.06.2018 13:30 - 17.06.2018 13:45,10736,11034
17.06.2018 13:45 - 17.06.2018 14:00,10722,10950
17.06.2018 14:00 - 17.06.2018 14:15,10726,10874
17.06.2018 14:15 - 17.06.2018 14:30,10752,10864
17.06.2018 14:30 - 17.06.2018 14:45,10744,10877
17.06.2018 14:45 - 17.06.2018 15:00,10756,10856
17.06.2018 15:00 - 17.06.2018 15:15,10763,10894
17.06.2018 15:15 - 17.06.2018 15:30,10805,10873
17.06.2018 15:30 - 17.06.2018 15:45,10748,10857
17.06.2018 15:45 - 17.06.2018 16:00,10801,10847
17.06.2018 16:00 - 17.06.2018 16:15,10822,10885
17.06.2018 16:15 - 17.06.2018 16:30,10909,10916
17.06.2018 16:30 - 17.06.2018 16:45,11028,11038
17.06.2018 16:45 - 17.06.2018 17:00,11157,11172
17.06.2018 17:00 - 17.06.2018 17:15,11386,11324
17.06.2018 17:15 - 17.06.2018 17:30,11656,11488
17.06.2018 17:30 - 17.06.2018 17:45,11850,11612
17.06.2018 17:45 - 17.06.2018 18:00,12084,11805
17.06.2018 18:00 - 17.06.2018 18:15,12280,11929
17.06.2018 18:15 - 17.06.2018 18:30,12377,11865
17.06.2018 18:30 - 17.06.2018 18:45,12422,11834
17.06.2018 18:45 - 17.06.2018 19:00,12453,11744
17.06.2018 19:00 - 17.06.2018 19:15,12552,11804
17.06.2018 19:15 - 17.06.2018 19:30,12816,11728
17.06.2018 19:30 - 17.06.2018 19:45,13060,11791
17.06.2018 19:45 - 17.06.2018 20:00,13193,11871
17.06.2018 20:00 - 17.06.2018 20:15,13343,11814
17.06.2018 20:15 - 17.06.2018 20:30,13489,11822
