Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
03.01.2018 04:15 - 03.01.2018 04:30,10836,10916
03.01.2018 04:30 - 03.01.2018 04:45,10888,10924
03.01.2018 04:45 - 03.01.2018 05:00,10933,10974
03.01.2018 05:00 - 03.01.2018 05:15,11004,11080
03.01.2018 05:15 - 03.01.2018 05:30,11172,11277
03.01.2018 05:30 - 03.01.2018 05:45,11417,11441
03.01.2018 05:45 - 03.01.2018 06:00,11664,11674
03.01.2018 06:00 - 03.01.2018 06:15,11982,12167
03.01.2018 06:15 - 03.01.2018 06:30,12545,12526
03.01.2018 06:30 - 03.01.2018 06:45,13095,12921
03.01.2018 06:45 - 03.01.2018 07:00,13513,13278
03.01.2018 07:00 - 03.01.2018 07:15,14036,13740
03.01.2018 07:15 - 03.01.2018 07:30,14724,14250
03.01.2018 07:30 - 03.01.2018 07:45,15412,14690
03.01.2018 07:45 - 03.01.2018 08:00,16073,15049
03.01.2018 08:00 - 03.01.2018 08:15,16607,15508
03.01.2018 08:15 - 03.01.2018 08:30,17120,15863
03.01.2018 08:30 - 03.01.2018 08:45,17524,16002
03.01.2018 08:45 - 03.01.2018 09:00,17730,16152
03.01.2018 09:00 - 03.01.2018 09:15,17943,16346
03.01.2018 09:15 - 03.01.2018 09:30,18205,16483
03.01.2018 09:30 - 03.01.2018 09:45,18458,16569
03.01.2018 09:45 - 03.01.2018 10:00,18568,16718
03.01.2018 10:00 - 03.01.2018 10:15,18654,16814
03.01.2018 10:15 - 03.01.2018 10:30,18752,16939
03.01.2018 10:30 - 03.01.2018 10:45,18845,17021
03.01.2018 10:45 - 03.01.2018 11:00,18873,17083
03.01.2018 11:00 - 03.01.2018 11:15,18875,17219
03.01.2018 11:15 - 03.01.2018 11:30,19044,17201
03.01.2018 11:30 - 03.01.2018 11:45,19061,17222
03.01.2018 11:45 - 03.01.2018 12:00,19043,17232
03.01.2018 12:00 - 03.01.2018 12:15,19021,17193
03.01.2018 12:15 - 03.01.2018 12:30,18950,17159
03.01.2018 12:30 - 03.01.2018 12:45,18865,17089
03.01.2018 12:45 - 03.01.2018 13:00,18843,17078
03.01.2018 13:00 - 03.01.2018 13:15,18899,17155
03.01.2018 13:15 - 03.01.2018 13:30,18974,17159
03.01.2018 13:30 - 03.01.2018 13:45,19071,17129
03.01.2018 13:45 - 03.01.2018 14:00,19026,17129
03.01.2018 14:00 - 03.01.2018 14:15,19047,17115
03.01.2018 14:15 - 03.01.2018 14:30,19068,17005
03.01.2018 14:30 - 03.01.2018 14:45,18981,16985
03.01.2018 14:45 - 03.01.2018 15:00,18929,16946
03.01.2018 15:00 - 03.01.2018 15:15,19067,16876
03.01.2018 15:15 - 03.01.2018 15:30,19011,16927
03.01.2018 15:30 - 03.01.2018 15:45,19047,16960
03.01.2018 15:45 - 03.01.2018 16:00,19090,16955
03.01.2018 16:00 - 03.01.2018 16:15,19103,16957
03.01.2018 16:15 - 03.01.2018 16:30,19027,17072
03.01.2018 16:30 - 03.01.2018 16:45,19186,17233
03.01.2018 16:45 - 03.01.2018 17:00,19498,17603
03.01.2018 17:00 - 03.01.2018 17:15,19760,17834
03.01.2018 17:15 - 03.01.2018 17:30,19714,17951
03.01.2018 17:30 - 03.01.2018 17:45,19737,17980
03.01.2018 17:45 - 03.01.2018 18:00,19653,17882
03.01.2018 18:00 - 03.01.2018 18:15,19195,17353
03.01.2018 18:15 - 03.01.2018 18:30,18292,17062
03.01.2018 18:30 - 03.01.2018 18:45,17900,16915
03.01.2018 18:45 - 03.01.2018 19:00,17648,16818
03.01.2018 19:00 - 03.01.2018 19:15,17408,16590
03.01.2018 19:15 - 03.01.2018 19:30,17097,16445
03.01.2018 19:30 - 03.01.2018 19:45,16877,16270
03.01.2018 19:45 - 03.01.2018 20:00,16779,16113
03.01.2018 20:00 - 03.01.2018 20:15,16656,15879
03.01.2018 20:15 - 03.01.2018 20:30,16502,15666
03.01.2018 20:30 - 03.01.2018 20:45,16266,15469
03.01.2018 20:45 - 03.01.2018 21:00,16045,15199
03.01.2018 21:00 - 03.01.2018 21:15,15764,14915
03.01.2018 21:15 - 03.01.2018 21:30,15571,14745
03.01.2018 21:30 - 03.01.2018 21:45,15325,14477
03.01.2018 21:45 - 03.01.2018 22:00,15017,14264
03.01.2018 22:00 - 03.01.2018 22:15,14735,13968
03.01.2018 22:15 - 03.01.2018 22:30,14488,13745
03.01.2018 22:30 - 03.01.2018 22:45,14212,13432
03.01.2018 22:45 - 03.01.2018 23:00,13913,13195
03.01.2018 23:00 - 03.01.2018 23:15,13592,13054
03.01.2018 23:15 - 03.01.2018 23:30,13388,12867
03.01.2018 23:30 - 03.01.2018 23:45,13120,12617
03.01.2018 23:45 - 04.01.2018 00:00,12838,12341
04.01.2018 00:00 - 04.01.2018 00:15,12663,12094
04.01.2018 00:15 - 04.01.2018 00:30,12762,11952
04.01.2018 00:30 - 04.01.2018 00:45,12756,11859
04.01.2018 00:45 - 04.01.2018 01:00,12613,11693
04.01.2018 01:00 - 04.01.2018 01:15,12324,11521
04.01.2018 01:15 - 04.01.2018 01:30,12123,11428
04.01.2018 01:30 - 04.01.2018 01:45,12032,11297
04.01.2018 01:45 - 04.01.2018 02:00,11887,11170
04.01.2018 02:00 - 04.01.2018 02:15,11775,11109
04.01.2018 02:15 - 04.01.2018 02:30,11756,10999
04.01.2018 02:30 - 04.01.2018 02:45,11707,10925
04.01.2018 02:45 - 04.01.2018 03:00,11638,10851
04.01.2018 03:00 - 04.01.2018 03:15,11553,10880
04.01.2018 03:15 - 04.01.2018 03:30,11496,10932
04.01.2018 03:30 - 04.01.2018 03:45,11547,10867
