ManufacturerID;ManufacturerName;TurbineID;TurbineName;RatedPowerkW;Offshore;MinimumHubHeightM;MaximumHubHeightM;CutInMS;RatedMS;CutOffMS;Voltage;AvailableSince;ws0;ws0_5;ws1;ws1_5;ws2;ws2_5;ws3;ws3_5;ws4;ws4_5;ws5;ws5_5;ws6;ws6_5;ws7;ws7_5;ws8;ws8_5;ws9;ws9_5;ws10;ws10_5;ws11;ws11_5;ws12;ws12_5;ws13;ws13_5;ws14;ws14_5;ws15;ws15_5;ws16;ws16_5;ws17;ws17_5;ws18;ws18_5;ws19;ws19_5;ws20;ws20_5;ws21;ws21_5;ws22;ws22_5;ws23;ws23_5;ws24;ws24_5;ws25;ws25_5;ws26;ws26_5;ws27;ws27_5;ws28;ws28_5;ws29;ws29_5;ws30;ws30_5;ws31;ws31_5;ws32;ws32_5;ws33;ws33_5;ws34;ws34_5;ws35;Conditions
43;Windtec;320;WT2000fc/113;2000;No;90;100;3;9.5;20;#ND;#ND;0;0;0;0;0;0;45;100;162;233;309;448;588;763;938;1118;1320;1650;1970;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;402;WT2000df/113;2000;No;90;100;3;9.5;20;#ND;#ND;0;0;0;0;0;0;45;100;162;233;309;448;588;763;938;1118;1320;1650;1970;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;420;WT3000fc/113;3000;No;90;110;3;11.5;25;#ND;#ND;0;0;0;0;0;0;54;101;152;232;316;449;583;755;926;1141;1356;1628;1900;2120;2336;2595;2825;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;435;WT3000df/113;3000;No;90;110;3;11.5;25;#ND;#ND;0;0;0;0;0;0;54;101;152;232;316;449;583;755;926;1141;1356;1628;1900;2120;2336;2595;2825;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;422;WT3000df/120;3000;No;90;110;3;11;20;#ND;#ND;0;0;0;0;0;0;49;110;174;258;343;485;626;852;1078;1356;1633;1900;2162;2460;2744;2973;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;894;WT3000fc/120;3000;No;90;110;3;11;20;#ND;#ND;0;0;0;0;0;0;49;110;174;258;343;485;626;852;1078;1356;1633;1900;2162;2460;2744;2973;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;1405;WT3000df/140;3000;No;100;110;3;9.5;20;#ND;#ND;0;0;0;0;0;0;5;116;233;352;474;664;855;1128;1399;1770;2123;2470;2800;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;1406;WT3000fc/140;3000;No;100;110;3;9.5;20;#ND;#ND;0;0;0;0;0;0;5;116;233;352;474;664;855;1128;1399;1770;2123;2470;2800;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;419;WT3000dd/120;3000;No;100;120;3;11;20;#ND;#ND;0;0;0;0;0;0;49;110;174;258;343;485;626;852;1078;1356;1633;1900;2162;2460;2744;2973;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
154;Senvion;1407;3.4M122 NES;3400;No;86;139;2.5;12;22;10000 - 30000;2016;0;0;0;0;0;25;60;125;197;288;385;554;727;919;1112;1373;1634;1930;2225;2514;2798;3015;3191;3335;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
