DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-11,74.4,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-12,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-01,75.3,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-02,75.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-03,75.7,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-04,75.2,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-05,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-06,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-07,74.8,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-08,75.0,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-09,75.1,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-10,75.0,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-11,75.1,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2003-12,74.9,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-01,74.9,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-02,75.0,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-03,75.4,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-04,75.8,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-05,76.5,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-06,76.4,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-07,76.7,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-08,77.1,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-09,77.3,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-10,78.0,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-11,77.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2004-12,77.1,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2005-01,77.8,
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2005-02,78.0,
