,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
30,64327.04003851256,9132.912457229417,3037.5957342161923,5136.18589995909,3200.3805721571757,3200.3805721571757,3200.3805721571757,3200.3805721571757,3200.3805721571757,3200.3805721571757,3200.3805721571757,0.0
31,65259.983638549915,9240.364492204613,3069.778563488092,5357.135168925915,3232.5284245139596,3232.5284245139596,3232.5284245139596,3232.5284245139596,3232.5284245139596,3232.5284245139596,3232.5284245139596,0.0
32,64690.847225135454,9174.814049715465,3050.1456295951907,5222.346448062951,3212.9168280695603,3212.9168280695603,3212.9168280695603,3212.9168280695603,3212.9168280695603,3212.9168280695603,3212.9168280695603,0.0
33,64343.05064110518,9134.756482773604,3038.1480360806977,5139.977695024107,3200.932273769438,3200.932273769438,3200.932273769438,3200.932273769438,3200.932273769438,3200.932273769438,3200.932273769438,0.0
34,61916.043902841935,8855.225316136668,2954.425993830609,4565.189074816677,3117.3012222380453,3117.3012222380453,3117.3012222380453,3117.3012222380453,3117.3012222380453,3117.3012222380453,3117.3012222380453,0.0
35,63149.207520362004,8997.255273954699,2996.965215028308,4857.23952652312,3159.7942109955707,3159.7942109955707,3159.7942109955707,3159.7942109955707,3159.7942109955707,3159.7942109955707,3159.7942109955707,0.0
36,64682.83806586263,9173.891592599866,3049.869345578152,5220.449636844887,3212.640844323282,3212.640844323282,3212.640844323282,3212.640844323282,3212.640844323282,3212.640844323282,3212.640844323282,0.0
37,65750.23214791277,9296.828998711211,3086.6901796640295,5473.240847502264,3249.4216608215984,3249.4216608215984,3249.4216608215984,3249.4216608215984,3249.4216608215984,3249.4216608215984,3249.4216608215984,0.0
38,65702.67101327135,9291.351131986206,3085.0495104144825,5461.9769319452735,3247.782774682809,3247.782774682809,3247.782774682809,3247.782774682809,3247.782774682809,3247.782774682809,3247.782774682809,0.0
39,64943.74530252151,9203.941655130582,3058.8696035282146,5282.240363750165,3221.631320620659,3221.631320620659,3221.631320620659,3221.631320620659,3221.631320620659,3221.631320620659,3221.631320620659,0.0
40,65093.974908535245,9221.244391200642,3064.0519251194996,5317.8192793722665,3226.808009965604,3226.808009965604,3226.808009965604,3226.808009965604,3226.808009965604,3226.808009965604,3226.808009965604,0.0
41,67441.86998010827,9491.663849931758,3145.0449307349995,5873.871863530728,3307.7129908316797,3307.7129908316797,3307.7129908316797,3307.7129908316797,3307.7129908316797,3307.7129908316797,3307.7129908316797,0.0
42,66698.71567740632,9406.070849323036,3119.409074456466,5697.87044189605,3282.1049960926466,3282.1049960926466,3282.1049960926466,3282.1049960926466,3282.1049960926466,3282.1049960926466,3282.1049960926466,0.0
43,67149.41221140057,9457.979946220228,3134.9563053998945,5804.609016133473,3297.635330007775,3297.635330007775,3297.635330007775,3297.635330007775,3297.635330007775,3297.635330007775,3297.635330007775,0.0
44,66303.59715327936,9360.562964953459,3105.779062949197,5604.294421804803,3268.489797942882,3268.489797942882,3268.489797942882,3268.489797942882,3268.489797942882,3268.489797942882,3268.489797942882,0.0
