,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
46,60661.712162381744,9849.699993650795,1803.1975796086672,5847.660052247553,1896.3298797122955,1896.3298797122955,1896.3298797122955,1896.3298797122955,1896.3298797122955,1896.3298797122955,1896.3298797122955,0.0
47,61476.496224320326,9984.86230080849,1811.8747054825976,6102.293252989529,1908.470101254942,1908.470101254942,1908.470101254942,1908.470101254942,1908.470101254942,1908.470101254942,1908.470101254942,0.0
48,61554.47561525223,9997.798089419806,1812.7051549504954,6126.663074188112,1909.6319883436774,1909.6319883436774,1909.6319883436774,1909.6319883436774,1909.6319883436774,1909.6319883436774,1909.6319883436774,0.0
49,61446.51719482815,9979.889161320623,1811.5554407538998,6092.924321279487,1908.0234159592053,1908.0234159592053,1908.0234159592053,1908.0234159592053,1908.0234159592053,1908.0234159592053,1908.0234159592053,0.0
50,61883.88240800478,10052.442484397194,1816.2132061483069,6229.608025989404,1914.5401249021586,1914.5401249021586,1914.5401249021586,1914.5401249021586,1914.5401249021586,1914.5401249021586,1914.5401249021586,0.0
51,62674.75107485402,10183.63753185031,1824.6356425858469,6476.767278868287,1926.3240088478549,1926.3240088478549,1926.3240088478549,1926.3240088478549,1926.3240088478549,1926.3240088478549,1926.3240088478549,0.0
52,63106.05265362779,10255.184975143591,1829.2288326879464,6611.555999731251,1932.7503700920213,1932.7503700920213,1932.7503700920213,1932.7503700920213,1932.7503700920213,1932.7503700920213,1932.7503700920213,0.0
53,63333.751773474716,10292.95736148981,1831.6537376616568,6682.715658346571,1936.1430699362359,1936.1430699362359,1936.1430699362359,1936.1430699362359,1936.1430699362359,1936.1430699362359,1936.1430699362359,0.0
54,63843.03274318038,10377.440593394407,1837.0773772316543,6841.874200408117,1943.7313182691378,1943.7313182691378,1943.7313182691378,1943.7313182691378,1943.7313182691378,1943.7313182691378,1943.7313182691378,0.0
55,64274.33432195416,10448.98803668769,1841.670567333754,6976.662921271082,1950.1576795133044,1950.1576795133044,1950.1576795133044,1950.1576795133044,1950.1576795133044,1950.1576795133044,1950.1576795133044,0.0
56,64573.94335104527,10498.689361871788,1844.861284211799,7070.295589866917,1954.6218316233605,1954.6218316233605,1954.6218316233605,1954.6218316233605,1954.6218316233605,1954.6218316233605,1954.6218316233605,0.0
57,64609.81059639441,10504.63928143851,1845.2432560951286,7081.504684290441,1955.156250894679,1955.156250894679,1955.156250894679,1955.156250894679,1955.156250894679,1955.156250894679,1955.156250894679,0.0
58,63184.03204455969,10268.120763754907,1830.0592821558441,6635.925820929832,1933.9122571807568,1933.9122571807568,1933.9122571807568,1933.9122571807568,1933.9122571807568,1933.9122571807568,1933.9122571807568,0.0
59,63567.33326189375,10331.70555792474,1834.1412875187436,6755.71365230426,1939.623416631925,1939.623416631925,1939.623416631925,1939.623416631925,1939.623416631925,1939.623416631925,1939.623416631925,0.0
60,64112.66274277931,10422.16877909064,1839.9488293810018,6926.13793729391,1947.748785083457,1947.748785083457,1947.748785083457,1947.748785083457,1947.748785083457,1947.748785083457,1947.748785083457,0.0
61,64196.530349568166,10436.08134778081,1840.8419860035317,6952.347921205973,1948.998406147774,1948.998406147774,1948.998406147774,1948.998406147774,1948.998406147774,1948.998406147774,1948.998406147774,0.0
62,63848.92095903734,10378.417373473261,1837.1400843862864,6843.714363121598,1943.8190522447196,1943.8190522447196,1943.8190522447196,1943.8190522447196,1943.8190522447196,1943.8190522447196,1943.8190522447196,0.0
63,63627.29132087813,10341.651836900479,1834.779816976139,6774.451515724345,1940.5167872233985,1940.5167872233985,1940.5167872233985,1940.5167872233985,1940.5167872233985,1940.5167872233985,1940.5167872233985,0.0
64,63633.36080256583,10342.658686673913,1834.844454539702,6776.348326942407,1940.607222046292,1940.607222046292,1940.607222046292,1940.607222046292,1940.607222046292,1940.607222046292,1940.607222046292,0.0
