Date;Hour;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
05.03.;10;102580.2425;101879.2244;104880.1477;97940.42592;103879.0544;120138.5185;105983.031;93837.94698;97020.77345;96401.68582;93328.62345;110701.5116;97443.42452;103598.7024;105566.9395;92252.61258;96669.31405;98442.00757;106086.8539;104784.2568;97796.01211;97538.45155;107157.9219;113076.5583;110300.4043;94569.89823;104247.0683;99744.23582;109382.6376;105681.4586;100493.849;99241.48781;98309.78585;101812.611;101732.2165
05.03.;11;101659.0767;100237.0034;103982.8914;97442.9299;103606.579;115406.92;104908.0867;93075.51414;96707.02;95833.00393;91333.66174;108751.946;94977.5342;102565.4784;104722.7127;91220.77016;97146.4505;97831.68979;104983.5397;104229.93;96645.90536;96486.05408;105498.0978;111325.9772;109474.7644;94715.29454;103209.954;99759.85848;107863.2369;104706.8769;100189.4899;97919.37983;97816.78275;101450.6154;101301.8861
05.03.;12;102279.4356;100410.3784;104506.8532;98151.24308;104665.5144;114647.6125;105388.0148;93619.07954;97348.18052;96387.60313;91268.51112;109438.2455;94500.67651;102774.878;105286.9159;91554.12015;98023.76342;98344.6412;105154.1081;104844.5602;96879.88461;96416.79926;105232.8167;111316.5374;109798.1081;95454.28368;103123.9946;100347.1427;107644.2879;104520.8398;100758.7919;97855.85733;98106.33681;102024.1109;101655.1791
05.03.;13;103009.0345;101232.6608;105427.7638;99106.97184;106017.926;114890.4528;106219.1195;94269.53937;98123.26772;96923.50746;91651.48505;110604.3101;94267.86484;103559.0936;106237.092;92209.17961;98929.37383;99131.12947;105977.2574;105704.4178;97560.57719;96742.89549;105761.708;112302.1637;110565.0687;96344.98133;103874.5754;101452.5798;108393.0079;104875.7911;101635.556;98291.0037;98786.66116;102837.1498;102528.0964
05.03.;14;101759.7647;100174.313;104317.0952;98078.04528;105216.6687;113789.1989;105369.628;92866.42219;97040.24518;95505.05358;90369.40261;110050.3836;92955.30999;102681.3389;105506.8687;91131.54086;98130.26898;98090.54851;105043.1518;104716.5378;96497.78329;95152.64736;104704.8711;111593.7596;109565.1052;95096.17596;102846.9119;100716.7078;107569.5528;103581.3945;100589.9397;96775.76841;97459.87483;101443.7548;101586.4249
05.03.;15;100761.6963;99503.36936;103357.9262;97094.17306;104184.843;112887.5057;104846.9542;91829.0701;96083.31167;94293.43975;89249.30178;109715.4087;91765.1336;102212.2587;104890.0693;90390.40739;97349.78738;97462.72949;104346.4027;103768.8143;95605.72019;93934.1046;104033.456;111136.9269;108959.9128;94144.24015;102279.0579;100446.6888;106953.3021;102642.3053;99771.86223;95305.15224;96402.85697;100483.09;101014.7329
05.03.;16;100652.349;99373.26207;102703.9414;96523.5844;104141.684;113240.2785;104915.2618;91343.45028;95660.00385;93737.46883;89110.45845;109964.4742;91499.63792;102453.8823;104751.9553;90459.89014;97147.46791;97183.73052;104205.9943;103368.8203;95562.99765;93536.81712;103976.9139;111109.641;109000.2078;93791.08025;102161.9128;100665.8202;106958.5566;102439.1337;99265.73482;94372.06278;96134.16894;99955.7936;100946.8681
05.03.;17;102224.9328;101357.8655;104570.5613;98422.40493;106583.5379;115289.1939;106717.2705;93447.43396;97376.39295;95509.42156;91523.87906;112478.6772;93955.03374;104741.0101;106915.7807;92911.72904;98977.13301;99144.95156;105771.4044;104899.0439;97612.96382;95833.0398;106327.794;113299.3109;110865.2498;95540.21263;104311.0804;103340.0001;108791.1829;104580.6445;101068.4602;96282.14792;98142.80634;101511.851;103604.6099
05.03.;18;108951.6321;108242.6156;110616.1272;104751.9039;111474.5115;122647.4946;113306.1732;100009.5314;103922.3414;102202.0702;98414.68932;117813.2886;101084.3063;111680.7121;112896.6005;100062.2769;105348.0393;105663.4454;112161.3831;111433.5068;104682.614;103194.6924;113512.3739;119991.1186;117633.8153;101982.4065;111199.0032;108686.842;115415.0028;111577.0353;107637.2906;103442.411;105047.1052;108185.1922;109554.8021
05.03.;19;112629.4265;110929.2606;112891.906;107207.8681;112573.9394;127447.0547;116353.0137;102375.8148;106359.1548;104653.3794;101815.3379;119439.7382;104917.9685;113940.1896;115055.8851;102818.158;108481.5205;108167.3065;115361.3854;115129.7996;107648.0085;106426.578;117259.5289;122950.1232;120739.4088;104971.7601;115742.3889;110029.6436;118681.4502;115113.6013;110460.7759;107714.754;108734.62;111327.3261;111787.4365
05.03.;20;106926.2904;104833.3544;106827.2016;101493.9095;106098.2287;121921.9355;110481.0068;96769.50628;100525.0018;98823.1428;96337.30949;113281.7126;99418.43083;107941.8227;109069.099;97155.74202;102666.9884;102340.0808;109456.2344;109646.2142;102035.5055;101020.2549;111591.241;117141.9514;115013.5028;99436.71063;110609.1338;104062.9111;113183.3002;109499.138;104825.1043;102648.4139;103403.2107;105829.718;106159.9543
05.03.;21;98904.30078;96389.08663;98416.74755;93303.48754;96961.22849;113656.0325;102134.8236;88461.25074;91988.57233;90386.21479;88136.51331;104221.0441;91259.95467;99161.78435;100406.7991;88867.06803;94184.57764;93866.46027;100887.5668;101596.443;93633.77524;92959.15771;103208.8125;108436.4912;106375.1629;91149.02721;102389.9;95528.11255;104618.1332;101295.551;96510.78596;94727.24214;95310.04471;97677.55122;97729.1554
05.03.;22;90367.37726;87634.87522;89419.87546;84804.75872;88160.81717;104748.5623;93370.70233;80034.94774;83164.4784;81771.79549;79744.00562;94822.09417;82847.0776;89985.31184;91378.23694;80442.12614;85474.54885;85189.50235;91918.55182;92933.46074;85153.35851;84737.26287;94427.87721;99093.60244;97397.7824;82851.23537;93608.75305;86811.27129;95392.55935;92683.2074;87985.59715;86608.90259;86884.6788;89080.533;89101.19945
05.03.;23;83549.65197;79699.77886;81738.41404;77292.71518;80090.74618;97193.15969;85709.46242;73219.13042;75837.08555;74419.57406;72717.691;86345.38066;75428.76514;81831.71954;83383.15019;73230.97709;78057.95604;77799.836;84232.41384;85557.69586;77717.18413;77346.37712;86897.71217;91112.76696;89450.83151;75613.58168;85941.26151;78989.10905;87374.17147;85171.49253;80462.08415;79446.84111;79666.51476;81409.79157;81351.40537
05.03.;24;78886.05834;74261.86935;76497.71005;72304.81423;74654.62193;93173.95237;80906.40718;68259.97428;70728.16651;69388.218;67823.62275;80996.13645;70400.03967;76491.73677;78321.14358;68318.67435;73147.53115;73093.23833;79204.05526;80896.77795;73022.31008;72504.48528;82263.72452;86377.50797;84697.83093;70841.08739;81129.71025;73859.5436;82527.7811;80623.59406;75616.01447;74835.02259;74979.33985;76727.9728;76540.76127
06.03.;1;76147.57128;68680.25672;71087.60037;68643.59087;69380.68628;89415.31122;77180.89754;62993.31121;65682.0193;64272.28961;63564.4921;74633.00689;65882.39646;71138.60149;73691.03378;64581.83808;68900.32298;69490.29902;73382.88888;77276.32233;68740.25918;68900.5338;78785.39027;83399.52386;80574.72239;66327.70369;76381.47732;69995.59279;79103.31665;77374.17915;72007.9089;70232.61206;71492.60753;72446.9203;73183.45786
06.03.;2;73850.68476;66249.64503;68776.65098;66408.77272;66598.16264;87236.38079;75009.28299;60807.95416;63357.71691;62032.97706;61288.83346;71954.67827;63530.22778;68693.97929;71463.58972;62344.76695;66455.69521;67351.7438;70997.76723;75235.17121;66759.72735;66746.70669;76677.68856;81470.15778;78400.32968;64159.46416;74198.86108;67684.74971;77056.98536;75461.89631;70005.09433;68270.34151;69632.09678;70298.55017;71027.53844
06.03.;3;74315.17191;66278.56955;68916.45121;66871.52534;66493.7693;88076.81507;75340.05858;61227.72915;63304.14949;62422.5359;61420.48862;71777.36685;63870.30879;68766.1036;71691.83683;62510.86269;66429.52602;67717.91347;71093.21543;75586.12653;67242.94421;67071.71602;77055.87723;82148.57397;78586.34195;64195.24417;74245.37731;67878.0135;77460.50608;76045.18043;70458.86262;68691.54079;69992.16321;70468.49218;71317.16127
06.03.;4;76902.98711;68495.08247;71386.05993;69463.189;68749.73334;91185.31351;77884.98156;63532.20685;65364.95307;64725.16869;63755.59192;73765.18229;66374.04321;71078.4164;74066.08596;64901.71233;68424.87736;70250.69489;73314.08524;78080.72278;69643.04907;69588.80862;79714.55997;85286.14618;81028.08369;66342.56943;76424.35449;70377.17572;80301.07507;78856.13984;73007.77356;71079.0913;72332.52339;72750.85474;73798.7157
06.03.;5;83490.26697;74343.6196;77403.68986;75541.87928;74575.32445;99185.91099;84587.42212;69010.72396;71057.42726;70449.51941;69623.84251;79920.55238;72300.60844;77326.44919;80428.7913;70789.41694;74202.5356;76576.76058;79430.55494;84659.55952;75586.43242;75745.61632;86622.99725;93428.55977;87998.40679;71993.2105;82587.84882;76690.98775;87722.35605;85883.65447;79451.07356;76832.25916;78385.71925;78856.23159;80223.38769
06.03.;6;92235.12833;82405.62827;85850.80349;83913.86815;82799.08664;108476.2853;93222.27556;76792.84841;78865.30412;78440.14317;77551.26346;88167.73503;80383.31463;85680.2799;88965.5502;78793.1604;82010.31378;84993.64136;87756.8747;93234.49042;83960.65084;84085.04635;95456.13617;102988.7855;96539.79379;79727.01425;90752.36258;85156.75256;96790.64973;94823.79647;88008.91722;85028.54904;86730.87824;87205.77247;88853.41895
06.03.;7;98221.30256;88359.18772;91954.30908;90013.76676;88942.73408;113594.0953;98874.45128;82614.49373;84664.28597;84347.78693;83259.95416;94042.37051;86492.97104;91525.51254;94877.02246;84684.16613;87357.37239;90784.94807;93597.74664;98928.50412;90034.92756;90161.72712;101276.2406;108967.0995;102131.9463;85302.88921;96206.89497;91172.25439;102794.8082;100785.5558;93975.9454;91072.88838;92561.34605;93124.65213;94955.57639
06.03.;8;103188.1906;95484.0467;98238.85964;96112.04496;96206.53192;118562.5822;104601.0188;87596.89402;91187.82231;90696.00131;89390.13328;100662.1999;92550.74213;97822.42499;101521.04;91141.12049;93305.5212;97047.54141;98794.07686;104158.2615;95284.57547;95854.26086;106839.0866;114943.8247;107716.102;90746.18365;100868.6312;98257.64302;109090.1837;105668.3413;98814.0311;95558.59621;98046.90856;98597.12246;101355.9263
06.03.;9;105786.2226;99905.88434;101434.0418;99661.60127;100317.8024;119800.9441;107714.0917;91394.81094;95135.57763;94286.8969;93549.76676;104440.2512;96085.86831;101317.3864;105249.0895;94854.13504;96985.01562;100426.6903;101753.0138;106625.5185;98044.90475;99048.22896;109508.6892;117340.2115;110301.6619;94447.75329;103580.5605;102631.4535;112164.7941;107985.5889;101596.3724;98068.77852;100667.5976;101461.1635;104386.4129
06.03.;10;105914.7243;100809.3661;102068.0175;100554.7211;100904.2901;118335.764;108367.6027;91588.22305;96527.0811;95425.27462;94725.64585;105419.3585;97086.63765;101959.7074;105998.667;95958.19228;97996.20658;101183.129;102158.9611;106400.2882;98177.15954;99461.78508;109816.0776;116841.7407;110403.5818;95041.01311;103667.9581;103513.7495;112484.5665;107696.1835;101086.3581;97479.62269;100528.161;101617.1686;104681.9831
06.03.;11;103963.1353;100290.7661;101150.5879;100117.9464;100506.6604;114380.1416;107431.2989;90036.35413;96324.9601;94940.81277;94267.44846;104790.633;96612.00479;101353.3198;105256.5509;95678.79415;98005.30653;100323.1417;100884.1333;104039.8083;97258.29099;98988.64423;108940.1024;115326.7648;109501.0145;94750.62233;102977.0838;103515.1952;111508.8815;106597.3813;99900.86064;96131.24598;99657.75725;101023.181;104141.3064
06.03.;12;104187.4182;100999.7472;101633.5448;100870.5631;101424.7818;114021.0083;107789.2397;90376.26687;97052.19481;95369.37913;94988.94;105597.0012;97130.19671;101711.1495;105842.3264;96341.63901;98829.36417;100679.3224;101274.7158;103886.7325;97755.29546;99552.75051;109338.4756;115323.4872;109693.0521;95142.57617;103207.2601;104372.355;111752.7714;106493.9167;99811.92599;96167.2467;99691.0779;101504.2054;104529.0471
06.03.;13;104616.1177;101842.2548;102437.9749;101990.1657;102696.2675;114809.2488;108667.4809;90865.27788;97708.09328;95790.51662;95716.4074;106455.5488;97696.02298;102499.5647;106707.0475;96936.41088;99984.17595;101382.7229;101870.1705;103997.1617;98656.53347;100529.7253;110298.6631;116190.4411;110516.3674;95659.53465;103971.8468;105451.8525;112661.5838;106925.5395;100579.4988;96712.71613;100039.368;102333.6015;105235.9103
06.03.;14;103495.6241;100805.2796;101320.5273;101019.0044;101783.7131;113972.8986;107746.7346;89525.42605;96719.80006;94315.88669;94674.71331;105599.7486;96471.43156;101360.228;105760.9163;95819.95578;99367.06188;100195.8861;100626.1981;102954.9357;97783.85365;99725.68141;109413.8375;115271.41;109442.2316;94273.41226;102760.2883;104935.0432;111714.4373;105829.7964;99602.92427;95356.56826;98434.63395;101272.3433;104121.9277
06.03.;15;102481.4988;100065.126;100133.2004;100326.4325;101059.4973;113415.866;106968.3554;88404.54338;95857.56526;92893.83458;93737.63252;104903.6799;95564.72632;100856.463;104827.4115;94942.45153;99050.30783;99325.47469;99381.05061;101772.7332;97396.35403;99325.3438;108935.0559;114832.7165;108887.5519;93191.12974;101898.2395;104326.515;111234.8492;105119.7504;98829.84302;93921.99568;97066.27087;100296.8215;103188.0422
06.03.;16;102155.1364;99828.09741;99488.6062;99909.29618;101015.6183;113848.8632;106696.9787;88108.30874;95699.84877;92282.31528;93292.38976;104724.0733;95279.28327;100634.907;104446.1985;94655.20415;99393.47526;99114.49219;98722.69975;101260.8204;97265.30927;99481.17783;108710.4226;114716.3282;109084.9868;92853.06907;101473.7741;104447.9179;111276.1461;105034.9178;98666.01342;93035.83316;96453.34214;99605.11297;103111.608
