Date,Hour,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
18.07.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.07.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.07.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.07.,5,0.005638717284052721,0.00580014881309561,0.0005763857832389595,0.006532235885576793,0.0054223185193365536,0.0016218158342499022,0.0014619202479065944,0.0020268293030065083,0.0037671412719338477,0.006443048133759092,0.00650838950519126,0.005054667365925142,0.00468606638163889,0.004837130261595562,0.0073470848151466405,0.0026424393568949605,0.004166258732693291,0.006576665290727736,0.00538233664308984,0.006355039902876116,0.00019505259816795,0.004063676220545029,0.006320945545833761,0.006410623370938471,0.0068021881723617636,0.006094143980027424,0.005384796906888702,0.0001543123218605632,0.005096151817370285,0.005219497341992445,0.00013882277626532026,0.006272530565581037,0.006531813946371928,0.005546872551797399,0.002846619708824181,0.006495569774049515,0.005446163023360062,0.006346609204472856
18.07.,6,0.05807449443425199,0.06289017397790911,0.025772904872317128,0.06955464092019761,0.05204646687041891,0.03316767613406521,0.03217265591392621,0.03827804679296623,0.0539627764138591,0.06910034585729065,0.06522427355022199,0.04900888587411832,0.05412606769101532,0.047523272259896714,0.07177624070924092,0.03286692975943594,0.05062988547363387,0.0698299389402356,0.05718117589845398,0.06031144239284211,0.017170810853688396,0.057720962372553405,0.06809573078883517,0.06836181996628699,0.07094796575399775,0.06612796441051758,0.045470073498252384,0.020914656212376488,0.0646061927788038,0.06161323778645949,0.026493028497747907,0.06841547937391618,0.06964114450283927,0.06336254954290976,0.04453826720370866,0.06883716062980776,0.06509827105244312,0.06538576704365502
18.07.,7,0.13089827194944081,0.1518217390112126,0.062155912713718973,0.1784592879380032,0.11861421387764755,0.08674694998765871,0.08462610086218839,0.09156544373885042,0.12651560567433165,0.17115385643224498,0.15444845637199142,0.13082378880966197,0.13089817003546628,0.11468989561695556,0.17231401298552584,0.07728229288317312,0.13124351066083306,0.18207358739499313,0.12333955367864753,0.1332424306194524,0.049297096592434524,0.15075971319671386,0.17646679607082735,0.17449654002458873,0.18922394260072303,0.15022392591000822,0.10609641347142382,0.06775713750663083,0.1539162269523442,0.15692165060160645,0.07127573789002253,0.18039521546186965,0.18419160662292333,0.16037341776897346,0.1000357546962573,0.1782564706559024,0.1703198204290802,0.1657277061033678
18.07.,8,0.20397973186401522,0.2594275969112615,0.10649339160527346,0.30797412757782777,0.1841117826148282,0.13956720747355514,0.14875442248379234,0.15632773118503512,0.1965443981481006,0.2878635669814555,0.24936918503548597,0.2314659890966963,0.21771673194866073,0.1855136204138073,0.28401701847856414,0.1261776515643928,0.22719557197655643,0.3137690461774877,0.18593032585112756,0.19756484450521458,0.09193870743794713,0.2634522262135627,0.30023263628967367,0.29385394031845224,0.32513119481216557,0.2300192255912099,0.17118817707459164,0.11688666952497904,0.25439285429022407,0.2720888160901014,0.14559805655400387,0.31165279684224323,0.31581774110346394,0.2667741358291157,0.1710887271548985,0.2996958827199474,0.2912476250732757,0.28052363129299807
18.07.,9,0.2792021511072717,0.36858861295988266,0.1645791104273947,0.4244787465193369,0.24208712644157204,0.17721774108221344,0.20576066780987418,0.23196093719216743,0.2504677153448518,0.3901144851988265,0.3393557437790612,0.3130487042757756,0.30043835510851763,0.24877554350661138,0.38973678467758466,0.1797107242429597,0.31608603501465143,0.43280661890348926,0.2592691680766947,0.26430368778711055,0.14148942999822306,0.37226399133808113,0.41148805742311884,0.4059811831870426,0.44567557362332766,0.32896576862487964,0.23406241240384357,0.15502577621237323,0.3587409688740143,0.37110972609784754,0.22496189916122034,0.42759304002530074,0.43412749738576084,0.3675909854357259,0.25167646434905644,0.40916778012058885,0.4019540314617296,0.39290038126270144
18.07.,10,0.3514032366220603,0.46287913320458046,0.23870617661990828,0.5130627430138818,0.28390741365438427,0.210820244011721,0.26352810916564123,0.279760489238443,0.29184602655818637,0.4423265526036146,0.4160940424123265,0.38250250939120134,0.3626503254353747,0.2993708793525755,0.4781863921262016,0.2265902938549385,0.3923363067993719,0.5275479595473123,0.3129967113328319,0.3132861875133971,0.17817897726611556,0.4443870440787881,0.48950631826108926,0.4891726784249655,0.5374791021737133,0.40787163295706674,0.2834716147515042,0.19921988476577,0.4384278889025014,0.43170172429978404,0.27232083252742534,0.5072947739116748,0.5219324011987079,0.44536905558322226,0.3135772292286868,0.4929789709715231,0.4870093066636673,0.4797836830905302
18.07.,11,0.39358098477123904,0.507163124987799,0.2876112667269803,0.5437235383840286,0.3095666199473667,0.24396398747756828,0.3010017960709066,0.30794582178631086,0.3170222307807803,0.44124842245295576,0.4542851774918879,0.438514420517519,0.38306459226094175,0.3072368004244746,0.5438191559401525,0.26657784903024323,0.43573895134098095,0.5598823953936424,0.3528897027710367,0.34326044461179495,0.20549817141984617,0.46660491941068594,0.5291808318563497,0.5196356223710694,0.5974605189941022,0.45371063081891966,0.3161098955614251,0.24154104255134112,0.48856186307372396,0.4822035414886847,0.32105558287762603,0.5426730791150925,0.5756995524790742,0.4673029611608688,0.35759916053704793,0.5413026253326463,0.5288711804401399,0.5081130146311432
18.07.,12,0.40417564093060565,0.5152251608820503,0.3179122709671738,0.5328878462611316,0.33270260144888797,0.26036625414834685,0.3155605025393275,0.3535856648106815,0.32392635502787553,0.4115282210058561,0.45920474794781097,0.4645280474832793,0.3843353977804069,0.3094400720020928,0.5901271900214122,0.27459496961639407,0.439070989999037,0.5705071020367222,0.37186968602791876,0.3787728425276844,0.220426486366937,0.45191329962839144,0.546838609781682,0.5210435366498984,0.626421303887284,0.47951596440605637,0.323092715150472,0.28119970835272035,0.4958648994317568,0.5017684786598094,0.3426757309225677,0.5425949322017888,0.6015225802583778,0.4552582765245946,0.3796141836950336,0.5569589415895528,0.5308964451452536,0.48215976855757664
18.07.,13,0.4013288154515544,0.4896435798621376,0.33744223421366426,0.49347875646960165,0.32105815970011103,0.26229541713910587,0.3250101308993053,0.3615276597297813,0.323886343982981,0.35575429408920256,0.4261336821705102,0.4549836499086349,0.3792833512259395,0.30825950862358353,0.6014924603066515,0.2791313671032426,0.4183382373225305,0.5710889129451588,0.380215896556962,0.39069865764475364,0.22152941923087088,0.43173832722068783,0.5488422578310828,0.5047587224356116,0.6250289769699888,0.4817027475929372,0.3125981009411178,0.29882788848572395,0.4809360052588736,0.4810654008792409,0.33641213094467065,0.5249314732308388,0.5962575128267033,0.4221449549724444,0.3879176758051287,0.5431967756836775,0.5188827865213231,0.4629489201852065
18.07.,14,0.39175661821123303,0.43951680531540427,0.31559135483067513,0.4360300390231331,0.30565572343779557,0.24926325644829433,0.27749760063023926,0.3385615007237043,0.30135369961630526,0.28349609239548323,0.3746665210549627,0.42567750515915237,0.36180384834379786,0.27777493475897497,0.5758688314704052,0.29365440727561026,0.3929894089961119,0.5348794524314369,0.3622053178994801,0.3692561370796652,0.21657044201875014,0.4140484704459221,0.5256752720716433,0.4542092410642069,0.5938524201129548,0.4642481795147964,0.29057274377207043,0.2977250962745921,0.4452339370531235,0.4682856390791017,0.33082904156915816,0.48647892770455736,0.5592750961956244,0.39179982063154767,0.3915831179293858,0.5175078561746764,0.5029513452646819,0.4220657243698086
18.07.,15,0.34792087738190924,0.37078456856887587,0.28053561678711886,0.3656100288858679,0.2905095152400555,0.2056514786285116,0.2165983988349252,0.31547424768524623,0.26890698484517234,0.21306326109672125,0.32071455019544365,0.3798443980611304,0.31828358491229175,0.2331032463660403,0.5222186530722099,0.2597832707440175,0.3491707983914011,0.4730925664162718,0.30755390087938544,0.33402842189072457,0.2046305874423099,0.37827606995097884,0.4665583574658463,0.3838549545626854,0.5322183708905225,0.42226731779636956,0.2511323301675704,0.2812873167037778,0.382773136511635,0.4311466099525234,0.3012200872851609,0.43213412654279415,0.4955574195769743,0.3562208140680646,0.3732142005805766,0.46627432515916767,0.4618801212125934,0.35917859971378846
18.07.,16,0.28521279739576305,0.29074827016713073,0.23887243655034374,0.29320200399299573,0.23410318403086422,0.1624174316278791,0.18290678622071457,0.27033190427287934,0.2366474259609459,0.155349037560668,0.2531397960409732,0.29783147079770894,0.25274828873915645,0.17856521997255642,0.43001658121025405,0.2141204934923942,0.27853116927051985,0.3833589480261963,0.25094931244814866,0.2752242602071209,0.17983124607523743,0.3230694847274661,0.38232416465505403,0.2974134018242199,0.4412576732838521,0.34011405778189335,0.2037921468483472,0.22638241462619316,0.3180117460101806,0.3557236367448876,0.25435357691668187,0.3642413851698154,0.40897216159768546,0.30110858051004236,0.3109246172160497,0.37881428919354304,0.38825483048046716,0.3039174300668723
18.07.,17,0.2111158923007024,0.2059811523529229,0.17456447682593793,0.2163870911278249,0.16260141643745835,0.12415049022722444,0.12607264830628725,0.20304363054352761,0.1793981844090542,0.09779136937806647,0.1708285279342411,0.20576977347420283,0.17465726863654635,0.12636027018589807,0.30689341071412235,0.1562130613531277,0.19182186766047915,0.27497814137466786,0.18152933177153635,0.19958602246669696,0.1309224675724816,0.24368029201628277,0.27048519595522863,0.20595403238869248,0.3230131450137459,0.23466333700109546,0.1470108533446623,0.15550396640927264,0.23710855927357352,0.25925968749652484,0.19358501756322624,0.2722924215837851,0.3015377029178714,0.22726943460765467,0.2275258815531242,0.27356595757729685,0.2897367051310797,0.21656011499607608
18.07.,18,0.12437280400684143,0.11503818814656655,0.10237662581929276,0.1261992804679618,0.09602299412276596,0.07567616136339034,0.0693471961727358,0.12677270413744396,0.11349461959267072,0.04556068923135694,0.09363093413760971,0.12406606743894202,0.09922970608685613,0.07278437592120715,0.17526559767712527,0.08349778008763505,0.11089309871371955,0.1622778250993814,0.11144824238469922,0.1252651385397169,0.07808228278326979,0.14696935183102092,0.14495733389992965,0.11746609025059197,0.18794952343414498,0.14252158458753117,0.08488781163145562,0.09327228409407248,0.1435188929243397,0.15318165899288677,0.11726904202192079,0.16294075490544105,0.17829051596745926,0.13568587433764195,0.1430048838017716,0.15810552361261634,0.17162375257962098,0.1228618509408281
18.07.,19,0.050385738490111805,0.04418733554474024,0.0407858778631183,0.04978131708626334,0.03981325708667148,0.027809796374430314,0.027609963674493893,0.0524698105604606,0.047453640724240506,0.012452093150809892,0.03383618659624581,0.04777416521775203,0.038496400531133304,0.022782474014653414,0.06428832372141445,0.030539714129243785,0.0444508850153913,0.06138577122088037,0.04408955787003711,0.053255407630084385,0.03052008059431085,0.05719622568656229,0.04964936366708645,0.04507319861314896,0.06782558498346039,0.05831657458787265,0.02963996976968549,0.03969670859994433,0.05907879435841057,0.05989432332531689,0.04746369207110281,0.06108344564643013,0.06554845488965655,0.05583279910355707,0.0570310339535514,0.05928588913725439,0.06407628846972112,0.04612814914667762
18.07.,20,0.001969097372390113,0.0016400686237338813,0.0008296727073776258,0.0013439622396563566,0.0016439466195437582,0.001533466662594336,0.0006275220523970106,0.001652008181309055,0.0014337508183308388,0.0,0.00016543826508289746,0.0013047482823253203,0.001440256941148943,0.00011293885861140055,0.0025591912280506324,0.0006285798162327544,0.0010060515299717993,0.00232820174120217,0.0008349436031032077,0.001562469023639833,0.0011994314668303855,0.0021117965403271363,0.0007808866567875563,0.0018617098493607619,0.0027711178125432584,0.0023254075448114,8.146599162794875e-05,0.0015765061226223382,0.002765106332581611,0.0021146879428743624,0.00138273658551143,0.002517581922520056,0.002498937289345581,0.0025882330513159447,0.0019518753167537908,0.00235003887731339,0.002623300299380707,0.0009413549489786116
18.07.,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
